date,facility_id,facility_name,city,country,facility_type,latitude,longitude,size_sqm,capacity,energy_consumption_kwh,energy_cost_usd,water_usage_liters,maintenance_cost_usd,downtime_hours,occupancy_count,occupancy_pct,equipment_utilization_pct,waste_generated_kg,co2_emissions_kg,temperature_c,humidity_pct,safety_incidents,day_of_week,month,is_weekend
2025-02-02,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3952.6,583.82,7434.1,2377.69,1.45,210,42.1,60.1,435.1,2049.2,19.3,46.6,0,Sunday,February,True
2025-02-03,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8269.0,1221.39,14031.5,1804.77,0.9,370,74.0,77.2,714.6,3573.2,19.2,50.1,0,Monday,February,False
2025-02-04,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,9035.6,1334.62,14499.3,2227.41,2.83,342,68.5,92.1,565.1,3631.2,20.3,43.1,0,Tuesday,February,False
2025-02-05,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8282.4,1223.36,12028.3,2107.34,1.67,322,64.5,81.3,690.2,3719.2,20.1,42.1,0,Wednesday,February,False
2025-02-06,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7814.6,1154.27,12543.2,3265.73,1.92,310,62.0,90.8,770.4,3511.4,19.0,43.0,0,Thursday,February,False
2025-02-07,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8105.6,1197.24,13079.2,2376.26,1.84,380,76.0,88.0,861.5,3342.0,15.0,42.5,0,Friday,February,False
2025-02-08,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3970.0,586.4,8196.7,1457.15,2.37,175,35.0,72.9,422.4,1898.6,20.2,48.9,1,Saturday,February,True
2025-02-09,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3817.2,563.82,7094.4,2116.0,1.34,183,36.6,70.9,439.4,2133.0,18.8,37.2,0,Sunday,February,True
2025-02-10,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8009.9,1183.11,14340.8,806.72,0.19,367,73.4,71.2,726.5,3601.2,16.2,38.7,0,Monday,February,False
2025-02-11,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7393.8,1092.12,12907.4,1697.14,1.57,276,55.3,61.9,971.9,3354.7,18.4,55.9,0,Tuesday,February,False
2025-02-12,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7010.6,1035.51,13884.2,2228.49,0.48,405,80.9,78.3,652.3,3659.3,15.7,43.1,0,Wednesday,February,False
2025-02-13,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7211.2,1065.15,13731.3,1813.4,0.61,285,57.0,50.8,689.1,3669.4,18.1,47.8,0,Thursday,February,False
2025-02-14,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7084.9,1046.48,12835.7,2003.04,1.76,372,74.5,83.5,713.0,3676.0,15.1,39.4,0,Friday,February,False
2025-02-15,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4206.9,621.38,6387.6,1602.95,2.44,207,41.3,78.7,457.9,1814.2,15.8,47.5,0,Saturday,February,True
2025-02-16,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4311.9,636.9,6794.5,2416.79,1.18,218,43.5,82.4,357.5,1851.4,18.0,43.5,0,Sunday,February,True
2025-02-17,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7966.0,1176.63,14106.8,1683.5,1.48,374,74.8,87.9,785.6,3362.2,18.5,39.4,0,Monday,February,False
2025-02-18,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7956.5,1175.23,13469.4,1450.05,2.92,451,90.2,79.9,788.9,3435.0,17.4,54.0,0,Tuesday,February,False
2025-02-19,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7881.4,1164.14,12130.5,2269.74,1.41,383,76.7,93.3,689.7,3651.3,16.4,53.3,0,Wednesday,February,False
2025-02-20,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7435.2,1098.22,12204.3,880.32,3.86,415,83.0,83.8,808.0,3586.3,13.6,47.0,0,Thursday,February,False
2025-02-21,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7236.7,1068.91,10794.9,2036.02,1.74,348,69.6,70.9,653.5,3600.5,16.4,52.6,0,Friday,February,False
2025-02-22,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3755.5,554.71,7677.1,1100.21,0.68,209,41.8,75.8,352.5,2109.6,17.5,57.3,0,Saturday,February,True
2025-02-23,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4395.6,649.26,7359.8,2507.04,7.75,238,47.7,56.8,429.8,2017.1,16.1,51.7,0,Sunday,February,True
2025-02-24,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7407.8,1094.18,12342.5,1573.99,1.55,366,73.3,69.6,578.2,3459.5,16.5,50.4,0,Monday,February,False
2025-02-25,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7294.1,1077.38,12663.2,2358.32,2.5,383,76.5,74.4,522.2,3200.6,16.3,49.1,0,Tuesday,February,False
2025-02-26,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7997.8,1181.33,10286.6,1982.39,1.85,412,82.4,83.1,831.4,3311.3,16.0,51.5,0,Wednesday,February,False
2025-02-27,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7058.4,1042.57,11949.9,562.31,1.01,347,69.5,71.0,891.0,3417.8,16.6,46.6,0,Thursday,February,False
2025-02-28,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7825.3,1155.85,13746.0,1337.81,0.12,294,58.8,66.3,716.0,3679.5,16.0,47.1,0,Friday,February,False
2025-03-01,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4167.1,615.51,7359.6,2364.94,0.94,212,42.3,60.3,381.0,1907.0,18.5,50.9,0,Saturday,March,True
2025-03-02,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3835.4,566.51,6997.1,2258.37,0.27,227,45.4,72.4,487.3,1821.0,13.0,46.4,0,Sunday,March,True
2025-03-03,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7395.4,1092.34,12367.4,1903.85,0.55,325,64.9,96.3,637.6,3289.1,15.5,47.1,0,Monday,March,False
2025-03-04,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7855.5,1160.32,13158.6,914.09,1.77,400,80.1,80.5,612.4,3446.8,15.0,49.1,0,Tuesday,March,False
2025-03-05,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7769.7,1147.64,12081.3,2087.24,2.89,401,80.1,86.8,851.6,3676.3,16.6,54.9,0,Wednesday,March,False
2025-03-06,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,8074.4,1192.64,10704.6,2164.78,1.57,290,58.0,69.6,770.9,3842.9,16.3,43.7,0,Thursday,March,False
2025-03-07,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7554.0,1115.77,12333.4,1760.76,0.09,340,68.0,63.3,892.9,3405.3,18.6,53.3,0,Friday,March,False
2025-03-08,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4892.4,722.64,7000.5,3216.0,1.62,198,39.7,66.6,287.5,1892.9,19.1,53.6,0,Saturday,March,True
2025-03-09,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3841.7,567.45,7385.8,1317.9,2.4,203,40.5,77.1,334.5,1736.3,15.0,53.7,0,Sunday,March,True
2025-03-10,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7211.8,1065.24,10894.5,1850.07,0.52,347,69.5,59.3,771.5,3916.0,16.1,45.9,0,Monday,March,False
2025-03-11,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7357.3,1086.72,12186.1,225.86,1.02,345,69.1,68.6,818.1,3108.0,16.4,41.6,0,Tuesday,March,False
2025-03-12,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6752.1,997.33,12226.4,2289.93,1.17,438,87.6,72.5,867.7,3726.6,14.9,53.0,0,Wednesday,March,False
2025-03-13,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7838.2,1157.75,11211.5,1922.54,0.34,371,74.3,65.6,790.1,3354.5,17.0,51.3,0,Thursday,March,False
2025-03-14,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7773.4,1148.18,12768.8,712.58,1.83,349,69.8,58.1,788.9,3296.6,15.7,55.5,0,Friday,March,False
2025-03-15,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4058.6,599.48,7160.6,666.03,1.03,206,41.1,80.7,398.7,1744.8,14.4,47.2,0,Saturday,March,True
2025-03-16,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3922.7,579.41,6597.3,1203.19,1.59,218,43.5,78.4,524.5,2210.3,15.6,54.6,0,Sunday,March,True
2025-03-17,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6705.6,990.46,14295.8,2213.44,0.93,377,75.5,85.3,642.5,3491.0,14.5,56.3,0,Monday,March,False
2025-03-18,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7016.0,1036.31,11961.0,1550.15,0.7,368,73.5,67.6,811.4,3442.0,17.6,50.7,0,Tuesday,March,False
2025-03-19,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7692.1,1136.17,11834.0,1244.32,1.91,351,70.2,85.1,655.8,3649.6,18.9,53.4,0,Wednesday,March,False
2025-03-20,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7268.9,1073.67,11804.1,1122.26,0.77,350,70.1,92.3,831.6,3279.4,16.4,53.4,0,Thursday,March,False
2025-03-21,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7173.6,1059.59,11469.8,1095.1,2.95,353,70.6,80.5,650.1,3436.1,16.2,47.5,0,Friday,March,False
2025-03-22,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4171.0,616.08,6446.8,559.89,0.74,213,42.7,72.3,470.7,1897.1,16.2,54.4,0,Saturday,March,True
2025-03-23,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4330.7,639.67,5974.6,1000.22,1.39,186,37.2,79.4,430.6,1821.9,17.8,60.1,0,Sunday,March,True
2025-03-24,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7476.6,1104.35,12083.7,1083.17,2.12,390,78.0,71.8,971.4,3724.6,17.7,52.2,0,Monday,March,False
2025-03-25,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7503.1,1108.25,12329.9,2146.12,0.32,428,85.7,70.3,737.4,3384.0,15.8,45.0,0,Tuesday,March,False
2025-03-26,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7971.8,1177.49,10034.0,1631.78,0.68,388,77.5,84.4,819.0,3063.6,16.4,49.0,0,Wednesday,March,False
2025-03-27,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7445.0,1099.67,12178.8,1231.71,0.43,361,72.3,76.7,679.9,3365.5,17.0,43.7,0,Thursday,March,False
2025-03-28,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7232.8,1068.34,12324.0,3132.61,9.87,327,65.3,89.3,736.6,3499.1,14.3,59.2,0,Friday,March,False
2025-03-29,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4218.5,623.09,7036.0,1329.74,0.58,239,47.8,73.9,430.2,1773.8,17.9,56.8,0,Saturday,March,True
2025-03-30,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3993.9,589.92,7412.1,2439.85,3.81,182,36.5,74.8,326.4,1785.0,18.7,50.6,0,Sunday,March,True
2025-03-31,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7215.7,1065.8,13135.1,2715.11,0.57,407,81.4,72.7,606.2,3311.6,17.8,46.2,0,Monday,March,False
2025-04-01,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7946.4,1173.74,11693.1,780.4,1.35,399,79.9,67.5,839.2,3739.6,14.2,49.3,0,Tuesday,April,False
2025-04-02,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7257.0,1071.9,11585.3,1777.09,2.76,366,73.3,85.6,753.0,3329.4,13.2,50.4,0,Wednesday,April,False
2025-04-03,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6213.4,917.76,12889.2,1418.48,3.24,365,73.1,98.5,701.4,3794.1,17.2,54.3,0,Thursday,April,False
2025-04-04,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7549.0,1115.04,11786.5,1369.13,3.3,306,61.3,74.4,684.8,3302.8,15.0,54.3,0,Friday,April,False
2025-04-05,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3973.9,586.98,6117.7,2068.97,2.41,213,42.6,71.6,379.1,1942.8,16.6,60.8,0,Saturday,April,True
2025-04-06,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4002.9,591.26,8078.9,1354.61,2.22,219,43.8,71.0,430.6,1841.6,18.5,50.8,0,Sunday,April,True
2025-04-07,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7614.0,1124.64,12047.2,1431.55,1.77,334,66.9,71.6,821.3,3641.8,15.2,46.9,0,Monday,April,False
2025-04-08,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7345.0,1084.91,11745.1,1630.33,1.96,369,73.9,93.4,528.3,3191.2,15.7,48.9,0,Tuesday,April,False
2025-04-09,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7521.4,1110.96,10205.7,1505.86,0.58,377,75.3,71.3,933.0,3645.5,16.7,54.7,0,Wednesday,April,False
2025-04-10,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6530.9,964.65,13231.7,1020.73,0.3,397,79.5,72.5,924.8,3496.3,14.4,51.4,0,Thursday,April,False
2025-04-11,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7019.2,1036.78,11420.3,2214.8,1.15,375,75.1,66.4,500.7,3316.5,15.2,53.7,0,Friday,April,False
2025-04-12,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4441.5,656.04,6843.0,3078.35,0.98,173,34.6,80.7,492.4,1889.4,16.4,53.1,0,Saturday,April,True
2025-04-13,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4096.3,605.06,7364.5,1940.58,0.68,195,39.1,77.4,490.5,2119.2,16.0,60.5,0,Sunday,April,True
2025-04-14,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6715.2,991.88,11473.5,1503.95,1.88,384,76.8,67.4,769.9,3517.2,17.4,52.8,0,Monday,April,False
2025-04-15,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,6992.7,1032.87,12535.3,1304.69,2.15,407,81.4,69.6,620.1,3316.1,20.7,54.0,0,Tuesday,April,False
2025-04-16,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7037.2,1039.45,13991.8,1305.66,1.25,352,70.4,92.3,887.1,3197.5,16.7,59.6,0,Wednesday,April,False
2025-04-17,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7538.5,1113.48,10033.2,3161.5,2.69,457,91.5,78.3,742.0,3620.2,15.3,53.4,0,Thursday,April,False
2025-04-18,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7307.7,1079.39,11693.2,2300.85,0.03,304,60.8,79.0,833.3,3549.1,18.8,58.5,0,Friday,April,False
2025-04-19,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,3968.6,586.18,6388.3,1222.9,0.95,195,39.0,79.0,564.4,2022.1,14.3,58.2,0,Saturday,April,True
2025-04-20,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4138.8,611.33,6793.2,1832.11,0.41,205,40.9,91.1,439.4,1733.3,14.7,57.4,0,Sunday,April,True
2025-04-21,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7750.2,1144.76,12509.1,1512.45,0.79,368,73.6,68.2,664.0,3227.5,15.9,51.2,0,Monday,April,False
2025-04-22,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7428.3,1097.21,11508.2,2086.2,1.07,329,65.8,74.3,731.1,3804.0,16.4,63.2,0,Tuesday,April,False
2025-04-23,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7296.6,1077.76,11935.9,2061.77,1.03,392,78.4,76.4,678.7,3608.5,16.0,68.3,0,Wednesday,April,False
2025-04-24,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7377.7,1089.74,11834.9,2389.23,2.73,389,77.8,61.9,820.0,3664.2,16.9,57.4,0,Thursday,April,False
2025-04-25,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7736.0,1142.66,12281.1,1216.57,1.81,377,75.4,69.4,676.8,3299.6,17.4,52.3,0,Friday,April,False
2025-04-26,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4174.9,616.65,7082.7,1795.75,0.09,213,42.7,87.8,393.4,1815.3,18.7,57.9,0,Saturday,April,True
2025-04-27,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,4376.4,646.43,7481.0,672.13,3.08,198,39.5,85.1,341.9,2087.9,17.3,62.8,0,Sunday,April,True
2025-04-28,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7094.4,1047.9,13772.5,969.94,2.42,315,62.9,86.8,754.6,3814.5,16.3,55.0,0,Monday,April,False
2025-04-29,F001,Lagos Central Plant,Lagos,Nigeria,Manufacturing,6.5244,3.3792,12000,500,7278.6,1075.09,13388.1,2268.27,1.76,348,69.7,72.5,790.3,3291.0,18.8,57.6,0,Tuesday,April,False
